protein_id,design_idx,spearman,pearson
6W6B_A,4,0.3799055262691047,0.5273719276159193
6W6B_A,5,0.42277823892027055,0.5880767320704271
6W6B_A,6,0.38977872682567943,0.3821994680804472
6W6B_A,7,0.36405578933094607,0.6258741141235463
7FCT_B,0,0.5142727800787906,0.7947444229485188
7FCT_B,1,0.40431980617509905,-0.13262061381302898
7FCT_B,2,-0.0201895007240578,-0.2039474136253956
7FCT_B,3,0.5875657595826982,0.8506586707353533
7FCT_B,4,0.6169512488671864,0.5968879038359327
7FCT_B,5,0.465272347968753,0.7013415845072141
7FCT_B,6,0.7529141956059713,0.6025038369948879
7FCT_B,7,0.14162889048503102,-0.08549949616153944
7R6O_A,0,0.5011047614757848,0.18110858859018272
7R6O_A,1,0.22090944365206633,-0.0846993957971096
7R6O_A,2,0.5689431432555192,0.3207442683779417
7R6O_A,3,0.3096664092290959,0.45744391458869704
7R6O_A,4,0.3774323036345364,0.18059585942965095
7R6O_A,5,0.424982899705654,0.09402257385807684
7R6O_A,6,0.4711476887707094,0.3732300138774721
7R6O_A,7,0.23300772756048027,0.031951837480283435
7TN4_A,0,0.0044464394817890504,-0.00955753466557237
7TN4_A,1,-0.19240389531041535,-0.38648169918355635
7TN4_A,2,0.2762752652776219,0.09511864571960191
7TN4_A,3,-0.05250695458420594,0.10638955352768656
7TN4_A,4,0.26783625730994154,0.5946229949107984
7TN4_A,5,0.06369406102320478,0.2911719603345067
7TN4_A,6,-0.06918041372086933,-0.2177054820399191
7TN4_A,7,0.36765795084726743,0.6316520789758309
7W62_F,0,0.11099095196013002,-0.06708125536694635
7W62_F,1,0.5282674760072664,0.8188196326251347
7W62_F,2,0.3112020604874231,0.4246205618408904
7W62_F,3,0.269353069100037,0.5058395338923639
7W62_F,4,0.2496678650748323,0.3272452127803574
7W62_F,5,0.1602564810255516,0.30401140855053216
7W62_F,6,0.15416095750521547,-0.1975507290490713
7W62_F,7,-0.3600901466368077,-0.49960286535414483
8TG4_A,0,0.371037723649161,0.319718216935902
8TG4_A,1,0.2892928789481717,0.5549027080441226
8TG4_A,2,0.7281379517055199,0.8934049424354178
8TG4_A,3,0.6516121677876751,0.814091457462875
8TG4_A,4,0.7020103959161881,0.8221333381298163
8TG4_A,5,0.8809553202924888,0.735446385652115
8TG4_A,6,0.8248778926429395,0.8440983071918826
8TG4_A,7,0.7663607769142946,0.8115418178610844
9LD6_A,0,0.25343304131003797,-0.2297588324845439
9LD6_A,1,0.32982899544509153,0.30157395085671673
9LD6_A,2,0.10357335291718364,-0.05109430861595178
9LD6_A,3,0.1536519544532354,0.5054202078843737
9LD6_A,4,0.32091321397795525,0.1668600664758239
9LD6_A,5,0.19279941957698576,0.11630053486765438
9LD6_A,6,0.39462163507713943,0.2232938951580584
9LD6_A,7,0.15616450681334457,-0.13371956574555
9RN0_A,0,0.5641468509077784,0.5634905314873994
9RN0_A,1,0.3700079824819772,0.03960323951931193
9RN0_A,2,0.6151199827342861,0.7870766224655807
9RN0_A,3,0.6753071637950748,0.6058992269695715
9RN0_A,4,0.33494404243259146,0.25824367593804426
9RN0_A,5,0.3854968608944231,0.31462153662050396
9RN0_A,6,0.2410007099802191,0.015437055350530846
9RN0_A,7,0.6133429872198938,0.5987804111639574
